Seniority,Function,Subject Line,Hook 1,Z_Contact Status,Email Opened,Email Replied
VP,Logistics,Your presentation at the NRF2023,"Can't wait to listen to your presentation at the NRF2023 - Meanwhile, I would love to connect.",Attempting to Contact,,
Director,Supply Chain,"Your participation in the article ""Mondel?z 'bakes' female talent in Nuevo León.""","Recently read an article featuring your name titled ""Mondel?z 'bakes' female talent in Nuevo León."" Super impressed with your insights on building a work-life balance plan and would be delighted to connect with a supply chain expert like yourself.",Attempting to Contact,,
Director,Supply Chain,Your insights on Mental Health in the Workplace,"Not usually a fan of cold email, but felt compelled to reach out after listening to your participation in the podcast ""Advancing all Women."" Currently looking to source feedback on the project I'm working on from Sr supply chain & operation professionals - would love to connect.",Attempting to Contact,8/18/2022,
Director,Supply Chain,"Your participation in the article ""Adults Are Throwing Tantrums—at The Restaurant, On The Plane, At Home. Blame The Pandemic.""","Recently read an article featuring your name titled ""Adults Are Throwing Tantrums—at The Restaurant, On The Plane, At Home. Blame The Pandemic."" Impressed by your insight on tension & stress levels increase during the pandemic and would be delighted to connect with a supply chain expert like yourself.",Attempting to Contact,8/18/2022,
Director,Supply Chain,"Your participation in the article ""Us Trucking Market Stabilizing, But Jitters Remain.""","I know it is a little outdated, but recently read an article featuring your name titled ""Us Trucking Market Stabilizing, But Jitters Remain."" Super impressed with your insights on pricing pressure on the trucking market and would be delighted to connect with a supply chain & operations expert like yourself. ",Attempting to Contact,,
Sr. Manager,Supply Chain,22+ years career at Newell Brands,Stumbled upon your LinkedIn profile and couldn't avoid noticing your 22+ years career at Newell Brands & extensive experience with supply chain planning. Had to reach out!,Unresponsive,11/18/2022,
Sr. Manager,Supply Chain,"As a surfer, 3 Day WKND caught my eye!","I'll have to pick that candle up next time I'm in Targét, Amanda. Equally important is your background in Supply Chain, and its why I'm reaching out.",Unresponsive,,
Sr. Manager,Supply Chain,Question - supply chain planning,Came across your profile and was super impressed with 6+ years of career at Niagara Bottling & extensive experience with supply chain planning. Had to reach out!,Unresponsive,11/15/2022,
Sr. Manager,Supply Chain,Your experience leading optimization & scalability programs,Came across your profile and ended up reading about your impressive experience leading optimization & scalability programs for the Global Fulfillment platform at Nike. Had to reach out!,Unresponsive,,
Director,Logistics,EXHS Career Colloquium Series,Enjoyed your presentation at EXHS Career Colloquium Series & was so impressed with your career at Nike that had to risk a cold email intro. ,Attempting to Contact,11/12/2022,
Director,Distribution,Your insights on Nike and Macy's tinker with blockchain,"Read 'Nike and Macy's tinker with blockchain' & was so impressed with your insights about how to save ""billions of dollars of wasted money in the mysteries of supply chain inaccuracy."" I'd love the opportunity to connect!",Attempting to Contact,,
VP,Supply Chain,Your Q&A about the great resignation,Enjoyed your Q&A about the great resignation and was so impressed with your insights & Supply Chain career at Nordstrom that had to risk a cold email intro!,Unresponsive,11/18/2022,
Sr. Manager,Supply Chain,Your experience with people development in Supply Chain,Impressed by your 15+ years of career at Nordstrom & extensive experience with people development in Supply Chain. Had to reach out!,Unresponsive,,
Sr. Manager,Supply Chain,Your role Launching a 1M sq ft supply chain facility ,Enjoyed watching the youtube video of your participation in the Pathways for Women in Supply Chain event - Super impressed with your role in launching and scaling an automated 1M sq ft supply chain facility. Had to reach out!,Unresponsive,10/26/2022,
Director,Supply Chain,Your presentation at the Consumer Returns conference,Enjoyed your presentation at the Consumer Returns conference - Great insights on strategies to tackle the increasing returns volumes in Retail. Had to reach out!,Unresponsive,,
VP,Supply Chain,Your presentation at the 13th New York Maritime Forum,"Read about your presentation at the 13th New York Maritime Forum. Enjoyed reading about the critical points of your presentation and was super impressed by your 30+ years of supply chain experience. I know this is a long shot, but I'd love to connect with a supply chain expert like yourself.",Unresponsive,8/2/2022,
VP,Supply Chain,Your nomination to Top Women in Supply Chain,"Congrats on your nomination to the  Top Women in Supply Chain 2021! This may be a long shot, and I'm sure that you are crazy busy, but I am so impressed with your background I had to reach out in case you could spare a few moments.",Attempting to Contact,,
VP,Supply Chain,Your 29+ years of Supply Chain career ,"Given your 29+ years of career working in Supply Chain at Pepsico, I'd love to connect & learn how you've thought about tech's role in improving Frontline performance & Operations outcomes.",Attempting to Contact,11/21/2022,
VP,Warehouse Operations,Your insights on creating a career map for working parents,"Recently read an article featuring your name titled ""How Working Parents Can Create A Career Map."" Grateful for your insights on creating a career road map and having an active conversation about it with your direct manager. Would be honored to connect with a manufacturing & warehouse expert like yourself.",Attempting to Contact,,
Director,Warehouse Operations,Your insights on Frito-lay tech start-up partnership strategy,"Recently read an article titled ""Augury helps Frito-Lay ensure reliable production."" Enjoyed reading your insights on Frito-lay tech start-up partnership strategy, and guess what I am a start-up tech founder seeking feedback! would love to connect. ",Interested,9/23/2022,8/9/2022
